Momentum, 134, 118,
2# 0# 0# 0#
0& 0& 0& 0&

-# 0# 0# 0#
2& 0& 0& 0&

2# 0# 0# 0#
-& 0& 0& 0&

-# 0# 0# 0#
2& 0& 0& 0&

2# 0# -# 0#
-& 0& 2& 0&

2# 0# -# 0#
-& 0& 2& 0&

2# 0# -# 0#
-& 0& 2& -&

2# 0-# 11# 00#
2& 0-& 00& 11&

1# 1# 1# 1#
0& 0& 0& 0&

2# -# 2# -1#
0& 2& -& 10&

0# 0# 0# 0#
1& 1& 1& 1&

0# 2# -# 10#
2& -& 2& -1&

1# 0# 1# 0#
0& 1& 0& 1&

2-# 2-# 00# 11#
00& 00& 2-& 00&

0# 1# 0# 1#
1& 0& 1& 0&

00# 00# 2-# 10#
2-& 2-& 00& 10&

10# 10# 10# 10#
01& 00& 01& 00&

2# 0# 0# -#
1& 1& 1& 1&

01# 0# 01# 0#
10& 1& 10& 1&

1# 1# 1# 1#
2& 0& 0& -&

11# 0# 00# 1#
00& 1& 11& 0&

1# 1# 1# 1#
2& 0& 0& -&

00# 1# 11# 0#
11& 0& 00& 1&

2# 0# 0-# 11#
2& 0& 0-& 00&

2# -# 10# 1#
1& 1& 01& 0&

1# 1# 01# 0#
2& -& 10& 1&

2# -1# 00# 11#
1& 10& 11& 00&

10# 00# 10# 10#
10& 10& 10& 00&

2# -# 10# 1#
1& 1& 01& 0&

1# 1# 01# 0#
2& -& 10& 1&

2# -1# 00# 11#
1& 10& 11& 00&

2# -# 2# 00#
0& 2& -& 20&

+# 0# 0# 0#
+& 0& 0& 0&

0# 1# 0# 0#
0& 0& 0& 0&

0# 0# 0# 0#
0& 1& 0& 0&

0# 0# 0# 0#
0& 1& 1& 1&

0# 2# 0# 0#
1& 0& 1& 1&

-# 0# 1# 1#
1& 2& 0& 0&

1# 1# 1# 1#
-& 1& 1& 1&

1# 0# 00# 10#
1& 0& 01& 01&

2# -1# 01# 01#
0& 10& 00& 00&

0# 10# 00# 00#
2& -1& 01& 01&

2# -1# 01# 01#
0& 10& 00& 00&

01# 0# 01# 01#
10& 1& 10& 10&

1# 01# 01# 01#
1& 20& 00& 0-&

1# 20# 00# 0-#
1& 01& 01& 01&

1# 01# 01# 01#
1& 20& 00& 0-&

00# 1# 00# 10#
11& 0& 11& 01&

1# 01# 01# 01#
1& 10& 10& 10&

1# 10# 10# 10#
1& 01& 01& 01&

1# 01# 01# 00#
1& 10& 10& 10&

01# 00# 01# 01#
10& 10& 10& 10&

1# 11# 00# 11#
1& 00& 11& 00&

1# 00# 11# 00#
1& 11& 00& 11&

1# 11# 00# 11#
1& 00& 11& 00&

0# 2# -# 200-#
2& -& 2& -000&

01# 10# 01# 10#
10& 00& 10& 01&

10# 00# 10# 01#
01& 10& 01& 10&

01# 10# 01# 10#
10& 00& 10& 01&

2# -# 2# -1#
0& 2& -& 10&

01# 10# 01# 10#
10& 00& 10& 01&

10# 00# 10# 01#
01& 10& 01& 10&

01# 10# 01# 10#
10& 00& 10& 01&

2# -# 2# -1#
0& 2& -& 10&

1# 0# 0# 0#
1& 0& 0& 0&








