Momentum, 134, 118,
11# 11# 11# 11#
00& 00& 00& 00&
00# 00# 00# 00#
11& 11& 11& 11&
11# 11# 11# 11#
00& 00& 00& 00&
00# 00# 00# 00#
11& 11& 11& 11&
10# 10# 10# 10#
01& 01& 01& 01&
10# 10# 10# 10#
01& 01& 01& 01&
01# 01# 01# 01#
10& 10& 10& 10&
01# 01# 01# 01#
10& 10& 10& 10&

1001# 0# 1001# 0#
0010& 2& -010& 2&
10# 10# 10# 2-#
-1& 01& 01& 00&
1001# 0# 1001# 0#
0010& 2& -010& 2&
10# 10# 10# 2-#
-1& 01& 01& 01&
0010# 2# -010# 2#
1001& 0& 1001& 0&
-1# 01# 01# 00#
10& 10& 10& 2-&
0010# 2# -010# 2#
1001& 0& 1001& 0&
-1# 01# 01# 01#
10& 10& 10& 2+&

0011# 1000# 0011# 1010#
1000& 0011& 1000& 0010&
01# 01# 01# 01#
10& 10& 10& 10&
11# 0011# 00# 0010#
11& 0000& 01& 1000&
10# 10# 10# 10#
01& 01& 01& 01&
1000# 0011# 1000# 0010#
0011& 1000& 0011& 1010&
10# 10# 10# 10#
01& 01& 01& 01&
11# 2# +# 2#
11& 0& 2& +&
+000# 00# 11# 0101#
1001& 11& 00& 1010&

00# 11# 0101# 01#
11& 00& 1010& 10&
11# 10# 11# 10#
10& 11& 10& 11&
1001# 00# 00# 00#
0010& 01& 11& 11&
0011# 1000# 10# 10#
1000& 0011& 01& 01&
11# 00# 1010# 10#
00& 11& 0101& 01&
10# 11# 10# 11#
11& 10& 11& 10&
0010# 01# 11# 11#
1001& 00& 00& 00&
0011# 10# 1100# 10#
1000& 01& 0011& 01&
1# 0# 0# 0#
1& 0& 0& 0&

0# 2# 0# 0#
0& 0& 0& 0&
-# 0# 0# 0#
0& 2& 0& 0&
0# 2# 1# 1#
-& 0& 0& 0&
+# 0# 0# 0#
0& 2& 1& 1&
0# 2# 1# 1#
+& 0& 0& 0&
+# 0# 0# 0#
0& 0& 0& 0&






